,precision,recall,f1-score,support
Center,0.942987457240593,0.9627473806752037,0.9527649769585254,859.0
Donut,0.8928571428571429,0.9009009009009009,0.8968609865470852,111.0
Edge-Loc,0.8473684210526315,0.7755298651252408,0.8098591549295775,1038.0
Edge-Ring,0.9739583333333334,0.9659090909090909,0.9699170124481328,1936.0
Loc,0.7910685805422647,0.6898470097357441,0.736998514115899,719.0
Near-full,0.8571428571428571,1.0,0.9230769230769231,30.0
Random,0.9132947976878613,0.9132947976878613,0.9132947976878613,173.0
Scratch,0.4585365853658537,0.7899159663865546,0.5802469135802469,238.0
accuracy,0.8765673981191222,0.8765673981191222,0.8765673981191222,0.8765673981191222
macro avg,0.8346517719028173,0.8747681264275745,0.8478774099180314,5104.0
weighted avg,0.8886969877456944,0.8765673981191222,0.8797145039977124,5104.0
